,0
2019-04-09,0.0012636304664183965
2019-04-10,0.007298636305794089
2019-04-11,-0.0248969592690784
2019-04-12,0.011858
2019-04-15,-0.014014
2019-04-16,0.015737176117883365
2019-04-17,0.004845127766308474
2019-04-18,0.007068365272177924
2019-04-19,0.0005444053435232602
2019-04-22,0.012938864472915772
2019-04-23,0.001708974637924416
2019-04-24,-0.014522571484760195
2019-04-25,-0.03717
2019-04-26,0.0005899999999999999
2019-04-29,-0.0023834090082937172
2019-04-30,0.01814782443410319
2019-05-01,0.0016091281835929872
2019-05-02,0.01054
2019-05-03,0.034255
2019-05-06,-0.000527
2019-05-07,0.019499
2019-05-08,0.0036868920460836644
2019-05-09,0.024281160846557546
2019-05-10,0.09435194162091383
2019-05-13,0.11900750190247612
2019-05-14,-0.0016653126989579234
2019-05-15,0.026361
2019-05-16,-0.03330689973547788
2019-05-17,0.0386325
2019-05-20,-0.028179
2019-05-21,0.0018162132812151136
2019-05-22,-0.024915
2019-05-23,0.024009
2019-05-24,0.073839
2019-05-27,0.00495497531892104
2019-05-28,-0.006888
2019-05-29,-0.0030135
2019-05-30,-0.0374535
2019-05-31,0.0469245
2019-06-03,-0.026260500000000003
2019-06-04,-0.07491103290908759
2019-06-05,0.012307520173459447
2019-06-06,-0.009754974759649678
2019-06-07,-0.007949013588446335
2019-06-10,0.024712303003216838
2019-06-11,-0.001548051986233304
2019-06-12,0.013272290224939533
2019-06-13,0.00879
2019-06-14,0.049300495626123764
2019-06-17,0.015822
2019-06-18,-0.022854
2019-06-19,0.018459
2019-06-20,0.018741336369922326
2019-06-21,0.08139395991021538
2019-06-24,0.004575010415128125
2019-06-25,0.053286
2019-06-26,0.042051
2019-06-27,-0.087312
2019-06-28,-0.007756323673103649
2019-07-01,-0.026435499999999997
2019-07-02,0.0183015
2019-07-03,0.065072
2019-07-04,-0.013376517859870348
2019-07-05,-0.014150000000000001
2019-07-08,0.055751
2019-07-09,0.0028299999999999996
2019-07-10,-0.021791
2019-07-11,-0.042733
2019-07-12,-0.05633842710450641
2019-07-15,0.020054194164788073
2019-07-16,-0.062433564568278276
2019-07-17,0.014403887992569444
2019-07-18,0.026039755316974316
2019-07-19,0.00041485813357586233
2019-07-22,-0.008432
2019-07-23,-0.006128372628470113
2019-07-24,-0.010440419732454085
2019-07-25,0.0013632300230276891
2019-07-26,-0.0074895228742579275
2019-07-29,-0.002596108913775073
2019-07-30,0.002968
2019-07-31,0.0106
2019-08-01,0.008586
2019-08-02,0.013886
2019-08-05,0.017278
2019-08-06,-0.011024
2019-08-07,0.015572439770878218
2019-08-08,-0.004349915224488264
2019-08-09,-0.0002930208190857844
2019-08-12,-0.012109520780197282
2019-08-13,-0.019482074709517613
2019-08-14,-0.023202111610050632
2019-08-15,0.004998913369166257
2019-08-16,-0.0028700182488279858
2019-08-19,0.014282971344922372
2019-08-20,0.00012905933545020572
2019-08-21,-0.020592000000000003
2019-08-22,0.00325151226746482
2019-08-23,0.00638
2019-08-26,-0.00264
2019-08-27,-0.0034100000000000003
2019-08-28,-0.01111
2019-08-29,-0.00528
2019-08-30,0.00759
2019-09-02,0.013859999999999999
2019-09-03,0.00737
2019-09-04,-0.0044
2019-09-05,0.00077
2019-09-06,-0.00506
2019-09-09,-0.0033
2019-09-10,-0.00374
2019-09-11,0.00187
2019-09-12,0.00638
2019-09-13,-0.0031031354148020524
2019-09-16,0.00055
2019-09-17,-0.00264
2019-09-18,-0.00010999999999999999
2019-09-19,0.00099
2019-09-20,-0.00253
2019-09-23,-0.00737
2019-09-24,-0.02618
2019-09-25,-0.0042899999999999995
2019-09-26,-0.0121
2019-09-27,0.00297
2019-09-30,0.00407
2019-10-01,0.0022
2019-10-02,-0.00308
2019-10-03,-0.00242
2019-10-04,-0.00638
2019-10-07,0.008579999999999999
2019-10-08,-0.00242
2019-10-09,0.01012
2019-10-10,-0.00077
2019-10-11,-0.006175190415997492
2019-10-14,0.00099
2019-10-15,-0.00451
2019-10-16,-0.00484
2019-10-17,0.00242
2019-10-18,0.00385
2019-10-21,0.0
2019-10-22,-0.00165
2019-10-23,-0.017159999999999998
2019-10-24,0.00231
2019-10-25,0.04939
2019-10-28,-0.0017508592696129147
2019-10-29,-0.0009165
2019-10-30,-0.003666
2019-10-31,-0.0007049999999999999
2019-11-01,0.000423
2019-11-04,0.003948
2019-11-05,-0.0015086483549909642
2019-11-06,0.0005372381930503308
2019-11-07,-0.0037175015762167434
2019-11-08,-0.00471440605085036
2019-11-11,-0.007227
2019-11-12,0.0019615341971928506
2019-11-13,-0.0006569999999999999
2019-11-14,-0.0023200337358987356
2019-11-15,-0.0034882380441891596
2019-11-18,-0.005744572665436161
2019-11-19,-0.0016339999999999998
2019-11-20,-0.000258
2019-11-21,-0.0086
2019-11-22,-0.012986
2019-11-25,0.004896783730012228
2019-11-26,-0.00084
2019-11-27,0.007644
2019-11-28,-0.0015973078037138865
2019-11-29,0.0002505
2019-12-02,-0.0021709999999999998
2019-12-03,-0.0002505
2019-12-04,-0.0014195
2019-12-05,0.004008
2019-12-06,0.0011690000000000001
2019-12-09,-0.00334
2019-12-10,-0.0019205
2019-12-11,-0.0007515
2019-12-12,-0.00012468430950114445
2019-12-13,-0.0020875
2019-12-16,-0.003674
2019-12-17,-0.0047595
2019-12-18,0.011356
2019-12-19,-0.001837
2019-12-20,0.0060955
2019-12-23,-0.0032565
2019-12-24,-0.000835
2019-12-25,0.0
2019-12-26,-0.000668
2019-12-27,-0.0002505
2019-12-30,0.0004175
2019-12-31,-0.0014195
2020-01-01,-8.35e-05
2020-01-02,-0.0042585
2020-01-03,0.0077655
2020-01-06,0.0079325
2020-01-07,0.006346000000000001
2020-01-08,-0.0024215
2020-01-09,-0.004008
2020-01-10,0.0066219341293058
2020-01-13,-0.0017289993538203477
2020-01-14,0.02532624922348108
2020-01-15,-0.005010392062639254
2020-01-16,-0.004771975899887586
2020-01-17,-0.003005769254856071
2020-01-20,-0.0022887066688851427
2020-01-21,0.007954986571107077
2020-01-22,-0.01073183774545148
2020-01-23,-0.026546683394676935
2020-01-24,0.024948
2020-01-27,0.034188
2020-01-28,0.047124
2020-01-29,-0.0032847063702713336
2020-01-30,0.022936508917582313
2020-01-31,-0.028603422284704846
2020-02-03,-0.0119805
2020-02-04,-0.014272813813700968
2020-02-05,0.061453376207084576
2020-02-06,0.018608
2020-02-07,0.047683
2020-02-10,-0.035471499999999996
2020-02-11,0.054079499999999996
2020-02-12,0.01163
2020-02-13,-0.0273305
2020-02-14,-0.03608812194895383
2020-02-17,-0.030238
2020-02-18,0.0668725
2020-02-19,-0.084899
2020-02-20,0.0037948388099871356
2020-02-21,0.039819112542691666
2020-02-24,-0.04482826043270397
2020-02-25,-0.017818944713645285
2020-02-26,-0.04397855396279803
2020-02-27,-0.0021276333780655193
2020-02-28,-0.010677306732469298
2020-03-02,0.00998418341810357
2020-03-03,-0.0020724873046285212
2020-03-04,-0.0014960000000000002
2020-03-05,0.005235999999999999
2020-03-06,-0.013260000000000001
2020-03-09,-0.0045026216897901435
2020-03-10,0.001674
2020-03-11,-0.000744
2020-03-12,-0.02697
2020-03-13,-0.00531359747383245
2020-03-16,-0.0050711618823596205
2020-03-17,0.00486
2020-03-18,-0.000315
2020-03-19,0.00846
2020-03-20,-0.004278793949666047
2020-03-23,0.005829
2020-03-24,0.0019575
2020-03-25,-0.0010875
2020-03-26,0.0006525
2020-03-27,-0.0076124999999999995
2020-03-30,0.005655
2020-03-31,-0.000261
2020-04-01,0.001131
2020-04-02,0.0026534999999999996
2020-04-03,-0.0018705
2020-04-06,0.0057855
2020-04-07,-0.001305
2020-04-08,0.001479
2020-04-09,-0.0010005
2020-04-10,-0.002262
2020-04-13,-0.001566
2020-04-14,0.0008265
2020-04-15,-0.0020540688857940527
2020-04-16,0.0039585
2020-04-17,0.0001305
2020-04-20,-0.0026534999999999996
2020-04-21,-8.7e-05
2020-04-22,0.0024360000000000002
2020-04-23,0.004263
2020-04-24,8.7e-05
2020-04-27,0.001479
2020-04-28,-0.0003390275605132199
2020-04-29,0.012389409907043077
2020-04-30,-0.0030735539268839673
2020-05-01,0.008374880220013634
2020-05-04,-0.0005719278950649158
2020-05-05,0.0017811652881898057
2020-05-06,0.02702693006319303
2020-05-07,0.04817761460391849
2020-05-08,-0.1052596208448126
2020-05-11,-0.01967142073439429
2020-05-12,0.020862351429316698
2020-05-13,0.03653556884841077
2020-05-14,0.0308945
2020-05-15,-0.007592202362983219
2020-05-18,0.0002775611628369099
2020-05-19,0.0010677382934742086
2020-05-20,-0.0209225090182458
2020-05-21,-0.031462500000000004
2020-05-22,-0.00881816020805757
2020-05-25,-0.01670808237140208
2020-05-26,-0.0070920199552708405
2020-05-27,0.023954723668983532
2020-05-28,0.018652739211562987
2020-05-29,0.0008895
2020-06-01,0.017197
2020-06-02,-0.019282222823679106
2020-06-03,0.0087145
2020-06-04,0.016828
2020-06-05,-0.003964581768952223
2020-06-08,-0.0023186678529888128
2020-06-09,0.003065767881220696
2020-06-10,0.008877435129922631
2020-06-11,-0.046801981760472185
2020-06-12,-0.005636530129506494
2020-06-15,0.011857890884771252
2020-06-16,0.0035851289208749188
2020-06-17,-0.0034273380320349995
2020-06-18,-0.004448635871919065
2020-06-19,-0.00346320764705919
2020-06-22,0.019259477620334215
2020-06-23,-0.0012989999999999998
2020-06-24,-0.016454
2020-06-25,-0.00198726412150865
2020-06-26,-0.006890895177721228
2020-06-29,0.004132465580305892
2020-06-30,-0.002365453014197662
2020-07-01,0.0024784242184536175
2020-07-02,-0.002277
2020-07-03,6.9e-05
2020-07-06,0.0026910000000000002
2020-07-07,-0.000621
2020-07-08,0.00345
2020-07-09,-0.00414
2020-07-10,0.001173
2020-07-13,-0.0007589999999999999
2020-07-14,0.00011327299675227936
2020-07-15,-0.0009660000000000001
2020-07-16,-0.001725
2020-07-17,0.0013109999999999999
2020-07-20,-0.000207
2020-07-21,0.003519
2020-07-22,0.001794
2020-07-23,0.001104
2020-07-24,0.005955919915419511
2020-07-27,0.026229596029860695
2020-07-28,-0.013690826322322264
2020-07-29,0.01509719790790777
2020-07-30,-0.008058265055960656
2020-07-31,-0.002672936470656892
2020-08-03,0.0009269127098880767
2020-08-04,-2.133093201129144e-05
2020-08-05,0.04760678123453841
2020-08-06,0.0095
2020-08-07,-0.016516857620608612
2020-08-10,0.018768508754012904
2020-08-11,-0.0608900100727816
2020-08-12,0.030218
2020-08-13,0.02282276383311761
2020-08-14,0.019798
2020-08-17,0.051058000000000006
2020-08-18,-0.039596
2020-08-19,-0.034907
2020-08-20,0.009378
2020-08-21,-0.022403
2020-08-24,0.00521
2020-08-25,-0.05001943833185646
2020-08-26,0.01871218246494989
2020-08-27,-0.027897572951940647
2020-08-28,0.042665732980906326
2020-08-31,0.0017936494347918295
2020-09-01,0.0209535
2020-09-02,-0.048777
2020-09-03,-0.050673915188975134
2020-09-04,-0.02531774498505961
2020-09-07,0.006493399855826626
2020-09-08,-0.0034799999999999996
2020-09-09,0.0020399999999999997
2020-09-10,0.00108
2020-09-11,-0.0014131504890589597
2020-09-14,0.00432
2020-09-15,0.00108
2020-09-16,0.00318
2020-09-17,-0.0013800000000000002
2020-09-18,-0.00054
2020-09-21,-0.00486
2020-09-22,6e-05
2020-09-23,-0.00444
2020-09-24,0.008100000000000001
2020-09-25,-0.00035999999999999997
2020-09-28,0.00156
2020-09-29,-0.0015
2020-09-30,-0.0009
2020-10-01,-0.0010199999999999999
2020-10-02,0.00048
2020-10-05,0.00132
2020-10-06,-0.00228
2020-10-07,0.00114
2020-10-08,0.00294
2020-10-09,0.005639999999999999
2020-10-12,0.003532600185577556
2020-10-13,-0.003058103518374737
2020-10-14,-0.0007639240783388275
2020-10-15,0.002989378612677806
2020-10-16,-0.0017895130408958398
2020-10-19,0.013906998963952732
2020-10-20,0.009363284772741924
2020-10-21,0.0763230927704083
2020-10-22,-0.010032291542644907
2020-10-23,-0.00954630514080464
2020-10-26,0.002633650545399528
2020-10-27,0.054420127060218614
2020-10-28,-0.036667
2020-10-29,0.020811000000000003
2020-10-30,0.0302255
2020-11-02,-0.0272525
2020-11-03,0.046081500000000004
2020-11-04,0.0153605
2020-11-05,0.14070526466354016
2020-11-06,-0.0036201474421404373
2020-11-09,-0.023894000000000002
2020-11-10,-0.001838
2020-11-11,0.042364366094144804
2020-11-12,0.054221000000000005
2020-11-13,-0.038598
2020-11-16,0.07122250000000001
2020-11-17,0.086386
2020-11-18,0.00961934305672352
2020-11-19,0.002235
2020-11-20,0.055428
2020-11-23,0.00044699999999999997
2020-11-24,0.076884
2020-11-25,-0.05811
2020-11-26,-0.12696863013712753
2020-11-27,0.08831721738093833
2020-11-30,0.11784890581902559
2020-12-01,-0.0674842307220631
2020-12-02,0.02284299228540133
2020-12-03,0.014993000000000001
2020-12-04,-0.011484000000000001
2020-12-07,-0.009889
2020-12-08,-0.06061
2020-12-09,0.01595
2020-12-10,-0.01595
2020-12-11,0.05587966167398241
2020-12-14,0.007793141553808298
2020-12-15,0.0087
2020-12-16,0.1284
2020-12-17,0.09019655408564488
2020-12-18,0.0326875
2020-12-21,-0.0465687988816577
2020-12-22,0.0627935
2020-12-23,-0.0417725
2020-12-24,0.005390000000000001
2020-12-25,0.1695155
2020-12-28,0.029267237049333424
2020-12-29,0.009145499999999999
2020-12-30,0.0776195
2020-12-31,0.00046899999999999996
2021-01-01,0.20213899999999999
2021-01-04,-0.05104751313409297
2021-01-05,0.08326457321300017
2021-01-06,0.1097820506933479
2021-01-07,0.08437186059950637
2021-01-08,-0.0354240584769772
2021-01-11,-0.0958629151573951
2021-01-12,-0.05661236801147116
2021-01-13,0.09669132037289675
2021-01-14,0.06362852535567182
2021-01-15,-0.10890365114635019
2021-01-18,0.03181006746748918
2021-01-19,-0.023496000000000003
2021-01-20,-0.0140175
2021-01-21,-0.1355025
2021-01-22,0.04691723184130895
2021-01-25,-0.0009088289280575162
2021-01-26,0.003516354967661424
2021-01-27,-0.04182122835669484
2021-01-28,0.05070933438025884
2021-01-29,-0.004770187448479928
2021-02-01,0.007434107844221336
2021-02-02,0.023704999999999997
2021-02-03,0.022054999999999998
2021-02-04,-0.0071038772512067505
2021-02-05,0.021660185949824055
2021-02-08,0.09819164452659875
2021-02-09,0.0026132772266466726
2021-02-10,-0.022045535010730144
2021-02-11,0.04465389117132567
2021-02-12,0.010656820178555433
2021-02-15,-0.013593028148231443
2021-02-16,0.020464438833020203
2021-02-17,0.06502507693263597
2021-02-18,-0.016037
2021-02-19,0.11875120661947086
2021-02-22,-0.081294
2021-02-23,-0.1146932636343141
2021-02-24,0.024319717828766064
2021-02-25,-0.058998399640465805
2021-02-26,-0.03059757049579759
2021-03-01,0.06563484477956406
2021-03-02,-0.015550127886037457
2021-03-03,0.02448818485463222
2021-03-04,-0.026705
2021-03-05,0.036152365089724796
2021-03-08,0.004894045330573846
2021-03-09,0.03195
2021-03-10,0.0113
2021-03-11,0.021177382139536398
2021-03-12,0.0265103928293498
2021-03-15,-0.052949404180615556
2021-03-16,0.0005006424982520732
2021-03-17,0.025204290927592417
2021-03-18,-0.007371
2021-03-19,-0.001197
2021-03-22,-0.045801
2021-03-23,-0.0008036844124863649
2021-03-24,-0.02433077390397303
2021-03-25,-0.007707391491310186
2021-03-26,0.03671436993238232
2021-03-29,0.019763201307525628
2021-03-30,0.0107325
2021-03-31,0.000486
2021-04-01,0.0002639441353023724
2021-04-02,-0.007206974565366642
2021-04-05,0.008275110176828774
2021-04-06,-0.009976810193594213
2021-04-07,-0.02327
2021-04-08,0.0143225
2021-04-09,0.026459999999999997
2021-04-12,0.0019875
2021-04-13,0.0387825
2021-04-14,-0.0066300000000000005
2021-04-15,0.01317218664962537
2021-04-16,-0.09284078485470604
2021-04-19,-0.0017825290543853009
2021-04-20,-0.01447203946918055
2021-04-21,0.003487013364120891
2021-04-22,-0.008309393398384364
2021-04-23,-0.022234078825042216
2021-04-26,0.024626547224598862
2021-04-27,0.0075070263457299915
2021-04-28,0.00062
2021-04-29,0.004441
2021-04-30,0.018583150176346902
2021-05-03,0.016306
2021-05-04,0.014027000000000001
2021-05-05,-0.007118
2021-05-06,0.021789
2021-05-07,0.050815
2021-05-10,0.021873999999999998
2021-05-11,-0.018911999999999998
2021-05-12,0.035225
2021-05-13,-0.040244
2021-05-14,-0.05420463313275106
2021-05-17,-0.028256
2021-05-18,0.008231335165624541
2021-05-19,-0.030046499999999997
2021-05-20,-0.023222
2021-05-21,-0.0218425
2021-05-24,-0.016109661729420265
2021-05-25,0.011791899972335727
2021-05-26,8.172501803335744e-05
2021-05-27,0.0010395
2021-05-28,-0.0010605
2021-05-31,-0.0059535000000000005
2021-06-01,0.0025095
2021-06-02,-0.0009765
2021-06-03,0.0024885
2021-06-04,0.0027825
2021-06-07,-0.006846
2021-06-08,-0.0032655
2021-06-09,-0.0013755
2021-06-10,0.007875
2021-06-11,5.25e-05
2021-06-14,0.00378
2021-06-15,0.002322515939890067
2021-06-16,-0.000189
2021-06-17,-0.0052710000000000005
2021-06-18,0.00063
2021-06-21,-0.0046515
2021-06-22,-0.009387
2021-06-23,0.0044835000000000005
2021-06-24,0.000252
2021-06-25,0.002898
2021-06-28,-0.000987
2021-06-29,0.000147
2021-06-30,0.003276
2021-07-01,-0.0025095
2021-07-02,-0.0026985
2021-07-05,0.00378
2021-07-06,-0.002898
2021-07-07,0.000105
2021-07-08,0.000273
2021-07-09,-0.0035175000000000002
2021-07-12,0.004158
2021-07-13,-0.0031395
2021-07-14,-0.0012495
2021-07-15,0.0011737991914908242
2021-07-16,-0.0029715
2021-07-19,-0.00021
2021-07-20,-0.0014175
2021-07-21,0.002751
